127.0.0.1 - - [11/Sep/2021:10:08:56 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:08:59 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:08:59 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:08:59 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:00 -0500] "GET /SistemaVentas/img/wallpaper1.jpg HTTP/1.1" 200 40418
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:00 -0500] "GET /SistemaVentas/img/bakbaner.png HTTP/1.1" 200 152088
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:39 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:39 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:39 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:39 -0500] "GET /SistemaVentas/img/wallpaper1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:09:39 -0500] "GET /SistemaVentas/img/bakbaner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:11:07 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:11:07 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:11:08 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:11:53 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:11:53 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:11:53 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:02 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:02 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:02 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:03 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:03 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:04 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:05 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:05 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:05 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:06 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:12:06 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:13:38 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:13:38 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:13:38 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:14:36 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:14:36 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3444
